,0,0
stuff,141,99
go,1042,873
moment,251,321
mj,0,17
start,458,393
listen,61,69
music,402,442
watch,1466,1286
odd,81,94
documentari,104,128
wiz,0,1
moonwalk,0,6
mayb,267,169
want,718,571
get,1525,1284
certain,72,95
insight,27,36
guy,546,317
thought,374,385
realli,1284,1083
cool,99,90
eighti,18,16
make,1643,1401
mind,240,231
whether,81,87
guilti,21,28
innoc,38,82
part,505,552
biographi,10,11
featur,175,212
film,4743,5182
rememb,175,219
see,1323,1491
cinema,132,180
origin,433,339
releas,154,214
subtl,16,77
messag,84,114
feel,501,612
toward,90,109
press,18,27
also,737,1126
obviou,153,84
drug,80,75
bad,1454,357
kay,6,8
visual,72,126
impress,134,193
cours,244,305
michael,100,179
jackson,31,45
unless,113,30
remot,63,14
like,2543,2119
anyway,146,104
hate,159,105
find,454,674
bore,351,111
may,286,414
call,345,253
egotist,3,4
consent,4,3
movi,5548,4582
fan,301,362
would,1459,1068
say,820,619
made,908,754
true,211,294
nice,195,262
actual,574,427
bit,296,358
final,284,325
minut,519,223
exclud,3,1
smooth,4,19
crimin,56,69
sequenc,128,156
joe,68,105
pesci,5,3
convinc,96,101
psychopath,7,9
power,158,267
lord,26,47
dead,218,151
beyond,97,76
overheard,1,2
plan,87,91
nah,1,1
charact,1493,1413
rant,8,7
peopl,1024,937
know,784,678
suppli,15,14
etc,149,120
dunno,2,1
lot,437,538
thing,933,713
turn,407,371
car,181,115
robot,27,26
whole,322,250
speed,35,37
demon,42,35
director,569,456
must,318,369
patienc,10,7
saint,9,19
came,160,199
kiddi,8,6
usual,193,189
work,646,811
one,2698,2826
kid,340,252
let,359,226
alon,113,107
bunch,131,45
perform,403,753
complex,31,77
danc,112,180
scene,1063,971
bottom,80,28
line,392,302
level,127,133
anoth,454,422
think,920,915
stay,152,115
away,285,262
tri,768,525
give,592,599
wholesom,5,5
iron,45,49
bestest,0,1
buddi,38,42
girl,381,384
truli,151,208
talent,188,161
ever,677,563
grace,34,38
planet,51,60
well,876,1294
attent,89,97
gave,118,107
subject,98,99
hmmm,5,6
differ,244,380
behind,135,111
close,170,176
door,51,48
fact,357,356
either,229,132
extrem,127,138
stupid,343,56
sickest,1,1
liar,5,3
hope,293,225
latter,33,45
classic,156,295
war,194,342
world,304,482
timothi,8,22
hine,3,6
entertain,218,338
obvious,126,86
goe,223,247
great,507,1297
effort,126,77
length,32,43
faith,50,74
recreat,8,18
h,17,62
g,46,58
book,321,280
mr,154,182
succe,14,26
appreci,61,133
standard,80,91
predict,139,56
hollywood,181,205
fare,25,26
come,642,701
everi,402,406
year,601,801
e,77,107
spielberg,11,12
version,237,327
tom,61,80
cruis,19,13
slightest,19,5
resembl,50,38
everyon,185,245
look,1165,859
envis,0,4
amateur,33,8
critic,102,134
everyth,235,239
other,121,206
rate,247,212
import,106,134
base,152,173
never,675,639
agre,83,61
enjoy,299,552
put,340,295
novel,129,120
found,266,289
easi,56,96
overlook,13,26
perceiv,8,7
shortcom,7,10
manag,156,174
nichola,8,9
bell,22,14
welcom,22,32
investor,5,0
robert,70,103
carradin,11,5
primal,4,2
park,55,41
secret,49,92
project,79,66
mutat,10,1
anim,198,273
use,534,492
fossil,2,0
dna,3,1
jurassik,1,0
scientist,57,32
resurrect,9,2
natur,123,184
fearsom,3,0
predat,12,11
sabretooth,6,0
tiger,12,30
smilodon,3,0
scientif,15,17
ambit,7,14
deadli,15,14
howev,383,365
high,200,206
voltag,3,0
fenc,12,9
open,205,218
creatur,72,43
escap,74,112
begin,287,333
savag,22,21
stalk,25,9
prey,6,10
human,169,244
visitor,7,5
tourist,13,11
meanwhil,23,29
youngster,7,4
enter,34,51
restrict,5,6
area,49,49
secur,42,21
center,41,57
attack,108,55
pack,40,38
larg,80,78
pre,16,44
histor,50,58
deadlier,1,1
bigger,25,25
addit,47,42
agent,46,49
staci,7,1
haiduk,1,0
mate,23,11
brian,39,37
wimmer,1,0
fight,192,199
hardli,72,55
carnivor,2,1
real,425,582
star,385,479
astound,6,7
terrifyingli,2,1
though,426,508
giant,61,30
group,127,104
run,308,251
afoul,3,2
furthermor,14,11
third,72,81
danger,43,84
slow,116,110
victim,90,65
deliv,107,119
good,1553,1636
blood,150,102
gore,139,65
behead,2,4
hair,68,41
rais,63,51
chill,29,51
full,167,209
scare,80,76
appear,260,248
mediocr,69,16
special,204,220
effect,360,342
stori,1111,1471
provid,85,124
excit,95,113
stir,9,20
result,134,98
quit,331,450
major,118,112
comput,73,31
gener,243,201
seem,761,620
total,237,152
lousi,40,5
middl,108,105
player,43,73
react,9,16
appropri,19,52
becom,299,385
food,36,46
actor,709,664
vigor,2,3
physic,49,51
dodg,5,12
beast,13,10
bound,14,20
leap,10,15
dangl,5,0
wall,47,48
ridicul,173,52
small,148,210
realist,55,109
gori,26,14
violent,45,55
follow,208,221
jame,80,134
r,53,49
hickox,2,0
vanessa,14,4
angel,48,39
david,100,117
keith,16,11
john,187,283
rhi,4,4
davi,12,83
much,1030,935
better,671,449
bc,1,2
roland,5,2
emmerich,1,0
steven,40,23
strait,4,0
cliff,12,13
curti,9,12
camilla,2,1
motion,41,50
pictur,149,212
fill,88,94
bloodi,51,19
badli,126,21
direct,422,361
georg,94,112
miller,7,19
take,639,697
mani,602,825
element,108,124
previou,56,80
australian,12,28
televis,82,111
tidal,1,1
wave,14,52
journey,24,45
earth,104,73
occasion,53,47
man,528,688
snowi,2,4
river,23,32
zeu,2,0
roxann,2,1
robinson,5,5
cruso,2,1
averag,97,67
barrel,23,6
assum,48,27
prais,30,29
greatest,45,100
opera,34,63
read,304,258
somewher,80,40
care,251,228
wagner,8,15
anyth,370,225
except,223,152
desir,35,52
cultur,91,114
represent,14,12
swan,1,0
song,173,263
strike,35,49
unmitig,4,0
disast,46,20
leaden,4,0
score,107,135
match,64,186
tricksi,2,0
lugubri,1,0
realis,30,36
text,16,17
question,129,140
idea,309,210
matter,119,136
play,733,1009
especi,193,336
shakespear,29,34
allow,104,126
anywher,45,27
near,88,92
theatr,53,24
studio,55,92
syberberg,2,4
fashion,50,67
without,338,324
smallest,2,2
justif,8,4
decid,207,176
parsif,2,12
bisexu,2,2
integr,12,26
titl,214,179
stage,88,115
transmut,1,1
kind,314,274
beatnik,2,1
babe,11,13
continu,116,133
sing,98,115
tenor,1,3
singer,28,31
doubl,44,46
dose,11,17
armin,3,2
jordan,8,5
conductor,2,9
seen,636,695
face,225,246
heard,135,123
voic,140,160
amforta,1,1
monstrous,2,0
exposur,8,17
batonzilla,1,0
ate,11,0
monsalvat,1,0
friday,28,18
way,846,935
transcend,6,19
loveli,1,1
repres,37,51
scatter,7,3
shopworn,2,0
flaccid,2,0
crocus,1,0
stuck,34,23
ill,40,45
laid,19,14
turf,3,4
expedi,1,1
baffl,11,3
sometim,97,188
piec,205,176
imperfect,1,2
splice,9,0
gurnemanz,1,1
mountain,27,36
pastur,1,3
lush,8,9
juli,11,30
andrew,14,55
sound,267,202
hard,287,274
endur,27,18
trumpet,5,8
particular,42,96
possess,39,30
aural,1,1
glare,8,4
add,99,109
sort,201,150
fatigu,4,2
impati,1,1
uninspir,29,8
conduct,9,6
paralyt,1,0
unfold,14,34
ritual,10,5
someon,325,154
